Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1880,0.01,0.04,0.07,-0.01,-0.12,-0.24,-0.16,0.07,-0.04,-0.14,0.01,0.06
1881,-0.08,-0.05,0.1,0.11,0.09,-0.04,-0.07,-0.02,-0.03,0.01,0.01,0.1
1882,0.07,0.08,0.08,-0.01,-0.03,-0.14,-0.03,0.02,-0.03,0.04,0,-0.06
1883,-0.02,-0.07,-0.08,-0.06,-0.09,-0.01,-0.07,-0.05,-0.09,-0.05,-0.03,-0.05
1884,-0.08,-0.04,-0.09,-0.2,-0.31,-0.28,-0.21,-0.06,-0.1,-0.05,-0.09,-0.14
1885,-0.19,-0.22,-0.29,-0.35,-0.32,-0.42,-0.32,-0.22,-0.18,-0.12,-0.1,-0.09
1886,-0.14,-0.19,-0.16,-0.19,-0.14,-0.31,-0.2,-0.18,-0.13,-0.23,-0.14,-0.28
1887,-0.36,-0.43,-0.26,-0.3,-0.34,-0.27,-0.26,-0.16,-0.28,-0.21,-0.24,-0.22
1888,-0.2,-0.12,-0.2,-0.19,-0.28,-0.31,-0.2,-0.09,-0.03,0.07,0.07,0.15
1889,0.08,0.04,0.13,0.03,0.02,-0.12,-0.06,-0.19,-0.16,-0.09,-0.05,-0.03
1890,-0.2,-0.32,-0.33,-0.34,-0.43,-0.32,-0.32,-0.39,-0.37,-0.39,-0.25,-0.16
1891,-0.21,-0.25,-0.2,-0.19,-0.17,-0.28,-0.22,-0.22,-0.23,-0.15,-0.1,-0.05
1892,-0.09,-0.05,-0.13,-0.21,-0.23,-0.38,-0.25,-0.21,-0.12,0,-0.03,-0.11
1893,-0.12,-0.17,-0.11,-0.23,-0.23,-0.31,-0.13,-0.17,-0.16,-0.08,-0.04,-0.06
1894,-0.15,-0.18,-0.24,-0.36,-0.37,-0.41,-0.27,-0.23,-0.24,-0.19,-0.05,-0.09
1895,-0.15,-0.06,-0.18,-0.26,-0.26,-0.22,-0.17,-0.09,-0.17,-0.11,-0.2,-0.05
1896,-0.08,-0.06,-0.03,0,-0.14,-0.28,-0.04,0.01,-0.01,0.1,0.13,0.13
1897,0.1,0.08,0.13,0.01,-0.15,-0.15,-0.07,-0.11,-0.08,-0.09,-0.09,-0.12
1898,-0.09,-0.15,-0.22,-0.33,-0.32,-0.29,-0.32,-0.35,-0.24,-0.31,-0.25,-0.19
1899,-0.19,-0.12,-0.13,-0.17,-0.23,-0.27,-0.16,-0.1,-0.03,-0.11,-0.08,-0.05
1900,-0.09,0.04,-0.03,-0.07,-0.12,-0.08,-0.11,-0.07,-0.05,0,0.01,-0.09
1901,-0.1,-0.12,-0.14,-0.15,-0.18,-0.24,-0.29,-0.24,-0.16,-0.26,-0.13,-0.14
1902,-0.18,-0.14,-0.16,-0.17,-0.25,-0.22,-0.21,-0.3,-0.22,-0.26,-0.24,-0.22
1903,-0.24,-0.22,-0.29,-0.35,-0.35,-0.39,-0.27,-0.35,-0.49,-0.47,-0.43,-0.45
1904,-0.5,-0.54,-0.55,-0.51,-0.59,-0.48,-0.41,-0.42,-0.46,-0.36,-0.24,-0.3
1905,-0.26,-0.34,-0.18,-0.19,-0.27,-0.26,-0.29,-0.15,-0.15,-0.19,-0.19,-0.06
1906,0.03,-0.02,-0.14,-0.12,-0.25,-0.26,-0.17,-0.21,-0.3,-0.21,-0.34,-0.32
1907,-0.26,-0.28,-0.22,-0.27,-0.32,-0.31,-0.28,-0.27,-0.26,-0.23,-0.34,-0.33
1908,-0.33,-0.36,-0.38,-0.39,-0.44,-0.45,-0.33,-0.33,-0.39,-0.41,-0.39,-0.42
1909,-0.49,-0.44,-0.39,-0.5,-0.57,-0.5,-0.43,-0.3,-0.39,-0.44,-0.51,-0.53
1910,-0.48,-0.44,-0.51,-0.42,-0.37,-0.31,-0.29,-0.32,-0.32,-0.49,-0.51,-0.51
1911,-0.52,-0.55,-0.57,-0.6,-0.58,-0.66,-0.45,-0.43,-0.42,-0.32,-0.21,-0.1
1912,-0.15,-0.12,-0.14,-0.18,-0.27,-0.31,-0.3,-0.29,-0.33,-0.29,-0.25,-0.27
1913,-0.23,-0.23,-0.36,-0.27,-0.31,-0.38,-0.18,-0.19,-0.24,-0.22,-0.22,-0.13
1914,-0.07,-0.07,-0.1,-0.18,-0.21,-0.26,-0.11,-0.03,-0.01,-0.03,-0.06,0
1915,-0.12,0.04,0.06,0.07,-0.08,-0.28,-0.12,-0.26,-0.17,-0.19,-0.21,-0.16
1916,-0.14,-0.11,-0.16,-0.25,-0.32,-0.47,-0.4,-0.2,-0.23,-0.32,-0.46,-0.5
1917,-0.63,-0.58,-0.52,-0.45,-0.37,-0.38,-0.17,-0.06,-0.14,-0.25,-0.35,-0.28
1918,-0.26,-0.22,-0.24,-0.29,-0.36,-0.26,-0.27,-0.25,-0.07,-0.04,0.03,0.01
1919,0,-0.04,-0.02,0,-0.13,-0.31,-0.24,-0.36,-0.29,-0.29,-0.33,-0.27
1920,-0.32,-0.21,-0.23,-0.26,-0.31,-0.43,-0.32,-0.19,-0.07,-0.11,-0.07,-0.19
1921,-0.27,-0.26,-0.35,-0.42,-0.34,-0.37,-0.24,-0.21,-0.18,-0.04,-0.15,-0.2
1922,-0.27,-0.25,-0.18,-0.29,-0.47,-0.45,-0.27,-0.29,-0.28,-0.32,-0.16,-0.23
1923,-0.37,-0.31,-0.28,-0.28,-0.27,-0.33,-0.32,-0.37,-0.42,-0.31,-0.19,-0.16
1924,-0.15,-0.24,-0.17,-0.32,-0.29,-0.32,-0.34,-0.45,-0.41,-0.46,-0.52,-0.5
1925,-0.5,-0.42,-0.32,-0.35,-0.36,-0.38,-0.26,-0.2,-0.32,-0.23,-0.1,-0.07
1926,-0.11,-0.11,-0.14,-0.11,-0.22,-0.29,-0.33,-0.19,-0.23,-0.27,-0.29,-0.28
1927,-0.25,-0.27,-0.29,-0.34,-0.37,-0.4,-0.29,-0.31,-0.27,-0.24,-0.19,-0.26
1928,-0.29,-0.26,-0.26,-0.22,-0.41,-0.44,-0.28,-0.26,-0.26,-0.28,-0.22,-0.29
